Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
20.01,1.5,135,347.38,868.46,21.06
20,1.5,130,362,905.01,21.04
20,1.5,125,381.18,952.96,20.8
20,1.5,120,407.89,1019.72,20.38
19.99,1.5,115,447.18,1117.96,20.4
19.99,1.5,110,506.77,1266.93,21.62
20,1.5,105,599.03,1497.57,22.31
19.99,1.5,102,685.73,1714.33,24.97
20,1.5,99,792.63,1981.57,27.62
19.99,1.5,96,897.19,2242.98,30.05
20,1.5,94,945.43,2363.58,30.68
20,1.5,90,938.8,2347.01,32.36
19.99,1.5,88,876.76,2191.9,28.87
20,1.5,86,799.17,1997.92,26.38
20,1.5,84,720.71,1801.78,24
20,1.5,81,625.45,1563.62,22.08
20,1.5,78,556.48,1391.19,20.9
20,1.5,75,508.59,1271.49,21.08
20.01,1.5,70,451.08,1127.69,20.66
20,1.5,65,413.35,1033.38,21.02
20,1.5,60,385.07,962.67,20.68
19.99,1.5,55,364.84,912.1,20.98
20,1.5,50,350.09,875.24,21.12
19.99,1.5,45,339.07,847.67,21.31
20,1.5,40,331.81,829.51,21.93
20,1.5,35,326.89,817.24,22.3
20,1.5,30,324.07,810.17,22.29
20,1.5,25,322.84,807.09,22.32
20,1.5,20,324.79,811.97,23.29
19.99,1.5,15,327.64,819.11,24.06
19.99,1.5,10,329.97,824.91,24.13
19.99,1.5,5,331.79,829.47,24.23
20,1,240,515.03,1287.57,23.5
19.99,1,235,484.94,1212.35,23.03
20,1,230,464.17,1160.43,23.84
20,1,225,446.46,1116.14,23.53
20,1,220,434.55,1086.38,24.29
20,1,215,424.96,1062.4,24.23
20,1,210,419.66,1049.15,25.31
20,1,205,415.94,1039.85,25.77
20,1,200,412.91,1032.26,25.14
20,1,195,412.33,1030.83,25.51
20,0.999,190,411.23,1028.09,24.52
19.99,1,185,413.13,1032.82,25.17
20,1,180,413.22,1033.06,24.9
